res_state,case_month,n
WV,2022-02,0
WV,2022-03,0
WV,2022-04,0
WY,2020-01,0
WY,2020-02,0
WY,2020-03,12
WY,2020-04,0
WY,2020-05,15
WY,2020-06,27
WY,2020-07,62
WY,2020-08,106
WY,2020-09,287
WY,2020-10,1322
WY,2020-11,2694
WY,2020-12,1597
WY,2021-01,1196
WY,2021-02,216
WY,2021-03,80
WY,2021-04,120
WY,2021-05,184
WY,2021-06,166
WY,2021-07,414
WY,2021-08,1543
WY,2021-09,1812
WY,2021-10,1818
WY,2021-11,1018
WY,2021-12,617
WY,2022-01,2647
WY,2022-02,1074
WY,2022-03,176
WY,2022-04,43
